#,Color,Notes,ts,seconds_from_video_start,seconds_from_expe_start,task_duration,Comments,file
6,Mint,Mot de passe,00:04:00:04,240.04,177.2,177.2,,221116_CGLS
7,Cocoa,Clavier 1,00:08:37:88,517.88,455.04,277.84000000000003,,221116_CGLS
8,Mint,Fils 2,00:10:07:12,607.12,544.28,89.23999999999995,,221116_CGLS
9,Mint,Labyrinthe,00:12:46:52,766.52,703.68,159.39999999999998,,221116_CGLS
10,Cocoa,Simon,00:16:55:60,1015.6,952.76,249.08000000000004,,221116_CGLS
6,Mint,Simon,00:07:54:04,474.04,404.2,404.2,,221117_TFGG
7,Mint,Fils 1,00:09:38:08,578.08,508.24,104.04000000000002,,221117_TFGG
8,Mint,Mot de passe,00:16:38:52,998.52,928.68,420.43999999999994,,221117_TFGG
9,Mint,Fils 2,00:17:42:16,1062.16,992.32,63.6400000000001,,221117_TFGG
6,Cocoa,Simon,00:04:00:32,240.32,157.92,157.92,,221118_GDNF
7,Mint,Mot de passe,00:08:04:28,484.28,401.88,243.96,,221118_GDNF
8,Mint,Fils 1,00:08:58:80,538.8,456.4,54.51999999999998,,221118_GDNF
9,Mint,Simon,00:13:02:40,782.4,700.0,243.60000000000002,,221118_GDNF
6,Mint,Fils 1,00:03:20:68,200.68,127.96,127.96,,221118_VPET
7,Mint,Fils 2,00:03:51:60,231.6,158.88,30.92,,221118_VPET
8,Mint,Mot de passe,00:05:52:20,352.2,279.48,120.60000000000002,,221118_VPET
9,Mint,Clavier 1,00:08:29:52,509.52,436.8,157.32,,221118_VPET
10,Mint,Clavier 2,00:09:05:12,545.12,472.4,35.599999999999966,,221118_VPET
11,Mint,Simon,00:16:21:92,981.92,909.2,436.80000000000007,bruteforce,221118_VPET
6,Cocoa,Fils 1,00:03:13:80,193.8,139.68,139.68,,221121_JPMC
7,Mint,Mot de passe,00:06:17:16,377.16,323.04,183.36,,221121_JPMC
8,Mint,Simon,00:09:18:20,558.2,504.08,181.03999999999996,,221121_JPMC
9,Mint,Fils 1,00:09:59:04,599.04,544.92,40.839999999999975,,221121_JPMC
10,Mint,Fils 2,00:10:41:80,641.8,587.68,42.75999999999999,,221121_JPMC
11,Mint,Labyrinthe,00:13:01:28,781.28,727.16,139.48000000000002,,221121_JPMC
12,Mint,Clavier 1,00:14:25:44,865.44,811.32,84.16000000000008,,221121_JPMC
13,Mint,Clavier 2,00:15:06:72,906.72,852.6,41.27999999999997,,221121_JPMC
6,Mint,Fils 2,00:01:32:60,92.6,63.92,63.92,,221122_BDCC
7,Mint,Clavier 2,00:03:19:00,199.0,170.32,106.39999999999999,,221122_BDCC
8,Mint,Clavier 1,00:04:09:20,249.2,220.52,50.20000000000002,,221122_BDCC
9,Cocoa,Labyrinthe,00:07:29:76,449.76,421.08,200.55999999999997,,221122_BDCC
10,Mint,Fils 1,00:08:09:36,489.36,460.68,39.60000000000002,,221122_BDCC
11,Cocoa,Simon,00:10:59:24,659.24,630.56,169.87999999999994,,221122_BDCC
12,Cocoa,Mot de passe,00:11:48:00,708.0,679.32,48.760000000000105,,221122_BDCC
13,Cocoa,Labyrinthe,00:12:56:44,776.44,747.76,68.43999999999994,bruteforce; parallel pwd,221122_BDCC
14,Cocoa,Mot de passe,00:14:10:88,850.88,822.2,74.44000000000005,,221122_BDCC
15,Mint,Labyrinthe,00:14:15:16,855.16,826.48,4.279999999999973,bruteforce; parallel pwd,221122_BDCC
16,Mint,Mot de passe,00:15:54:76,954.76,926.08,99.60000000000002,,221122_BDCC
6,Mint,Fils 1,00:02:20:44,140.44,105.96,105.96,,221122_EBPT
7,Cocoa,Simon,00:05:28:88,328.88,294.4,188.44,,221122_EBPT
8,Mint,Mot de passe,00:08:17:96,497.96,463.48,169.08000000000004,,221122_EBPT
9,Mint,Clavier 1,00:09:43:00,583.0,548.52,85.03999999999996,,221122_EBPT
10,Mint,Clavier 2,00:10:27:96,627.96,593.48,44.960000000000036,,221122_EBPT
11,Mint,Fils 2,00:12:08:80,728.8,694.32,100.84000000000003,,221122_EBPT
12,Mint,Labyrinthe,00:16:30:04,990.04,955.56,261.2399999999999,,221122_EBPT
6,Mint,Fils 1,00:02:36:04,156.04,112.48,112.48,,221123_JFHB
7,Mint,Fils 2,00:03:15:00,195.0,151.44,38.959999999999994,,221123_JFHB
8,Mint,Simon,00:06:18:44,378.44,334.88,183.44,,221123_JFHB
9,Mint,Labyrinthe,00:09:47:92,587.92,544.36,209.48000000000002,,221123_JFHB
10,Mint,Mot de passe,00:14:01:48,841.48,797.92,253.55999999999995,,221123_JFHB
11,Mint,Clavier 1,00:16:04:08,964.08,920.52,122.60000000000002,,221123_JFHB
12,Mint,Clavier 2,00:17:00:04,1020.04,976.48,55.960000000000036,,221123_JFHB
6,Mint,Fils 1,00:03:12:16,192.16,120.76,120.76,,221123_MMCM
7,Mint,Simon,00:06:40:48,400.48,329.08,208.32,,221123_MMCM
8,Cocoa,Mot de passe,00:15:47:80,947.8,876.4,547.3199999999999,,221123_MMCM
6,Mint,Fils 1,00:02:12:68,132.68,101.88,101.88,,221123_YAEB
7,Cocoa,Fils 2,00:03:04:04,184.04,153.24,51.360000000000014,,221123_YAEB
8,Cocoa,Clavier 1,00:05:28:12,328.12,297.32,144.07999999999998,,221123_YAEB
9,Cocoa,Simon,00:09:24:64,564.64,533.84,236.52000000000004,,221123_YAEB
10,Mint,Labyrinthe,00:12:42:64,762.64,731.84,198.0,,221123_YAEB
11,Cocoa,Mot de passe,00:16:21:44,981.44,950.64,218.79999999999995,,221123_YAEB
6,Cocoa,Fils 1,00:02:04:32,124.32,84.76,84.76,,221125_FDCC
7,Mint,Fils 2,00:02:30:36,150.36,110.8,26.039999999999992,,221125_FDCC
8,Mint,Mot de passe,00:05:26:44,326.44,286.88,176.07999999999998,,221125_FDCC
9,Mint,Labyrinthe,00:08:06:24,486.24,446.68,159.8,bruteforced,221125_FDCC
10,Mint,Fils 1,00:08:54:56,534.56,495.0,48.31999999999999,,221125_FDCC
11,Mint,Simon,00:12:25:80,745.8,706.24,211.24,,221125_FDCC
12,Mint,Clavier 1,00:12:58:96,778.96,739.4,33.15999999999997,,221125_FDCC
13,Mint,Clavier 2,00:13:27:60,807.6,768.04,28.639999999999986,,221125_FDCC
6,Cocoa,Fils 1,00:01:47:48,107.48,47.2,47.2,,221128_EMTR
7,Mint,Fils 2,00:02:38:76,158.76,98.48,51.28,,221128_EMTR
8,Mint,Simon,00:06:25:76,385.76,325.48,227.0,,221128_EMTR
9,Mint,Clavier 1,00:08:49:40,529.4,469.12,143.64,,221128_EMTR
10,Mint,Clavier 2,00:09:30:92,570.92,510.64,41.51999999999998,,221128_EMTR
11,Mint,Labyrinthe,00:13:22:20,802.2,741.92,231.27999999999997,,221128_EMTR
12,Cocoa,Fils 1,00:14:47:60,887.6,827.32,85.40000000000009,,221128_EMTR
13,Mint,Mot de passe,00:18:07:52,1087.52,1027.24,199.91999999999996,,221128_EMTR
6,Cocoa,Fils 1,00:01:58:36,118.36,70.0,70.0,,221128_LBRA
7,Cocoa,Simon,00:04:36:72,276.72,228.36,158.36,,221128_LBRA
8,Mint,Mot de passe,00:06:51:88,411.88,363.52,135.15999999999997,,221128_LBRA
9,Mint,Fils 1,00:09:43:64,583.64,535.28,171.76,,221128_LBRA
10,Mint,Simon,00:11:53:40,713.4,665.04,129.76,,221128_LBRA
11,Mint,Fils 2,00:12:44:08,764.08,715.72,50.680000000000064,,221128_LBRA
12,Mint,Labyrinthe,00:16:36:52,996.52,948.16,232.43999999999994,,221128_LBRA
6,Mint,Fils 1,00:02:27:68,147.68,103.04,103.04,,221130_AMLB
7,Cocoa,Simon,00:03:31:68,211.68,167.04,63.999999999999986,,221130_AMLB
8,Mint,Mot de passe,00:06:36:40,396.4,351.76,184.72,,221130_AMLB
9,Mint,Clavier 1,00:07:41:80,461.8,417.16,65.40000000000003,,221130_AMLB
10,Mint,Labyrinthe,00:10:17:84,617.84,573.2,156.04000000000002,,221130_AMLB
11,Mint,Clavier 2,00:10:58:72,658.72,614.08,40.879999999999995,,221130_AMLB
12,Mint,Fils 2,00:11:32:80,692.8,648.16,34.07999999999993,,221130_AMLB
13,Mint,Simon,00:14:27:32,867.32,822.68,174.51999999999998,,221130_AMLB
6,Cocoa,Fils 1,00:02:52:24,172.24,130.8,130.8,,221130_ASCS
7,Mint,Fils 2,00:04:12:24,252.24,210.8,80.0,,221130_ASCS
8,Mint,Fils 1,00:04:48:28,288.28,246.84,36.03999999999999,,221130_ASCS
9,Cocoa,Simon,00:10:09:48,609.48,568.04,321.19999999999993,,221130_ASCS
10,Mint,Mot de passe,00:12:21:96,741.96,700.52,132.48000000000002,,221130_ASCS
11,Mint,Labyrinthe,00:16:08:04,968.04,926.6,226.08000000000004,,221130_ASCS
6,Mint,Fils 1,00:03:38:32,218.32,174.56,174.56,,221130_PCEF
7,Mint,Fils 2,00:04:52:84,292.84,249.08,74.52000000000001,,221130_PCEF
8,Mint,Clavier 2,00:06:36:00,396.0,352.24,103.16,,221130_PCEF
9,Mint,Clavier 1,00:07:31:16,451.16,407.4,55.15999999999997,,221130_PCEF
10,Mint,Mot de passe,00:10:41:64,641.64,597.88,190.48000000000002,,221130_PCEF
11,Mint,Simon,00:13:48:12,828.12,784.36,186.48000000000002,,221130_PCEF
12,Mint,Labyrinthe,00:16:02:24,962.24,918.48,134.12,,221130_PCEF
6,Cocoa,Simon,00:04:14:04,254.04,206.56,206.56,,221130_TFLH
7,Mint,Mot de passe,00:06:59:40,419.4,371.92,165.36,,221130_TFLH
8,Mint,Labyrinthe,00:08:00:12,480.12,432.64,60.71999999999997,,221130_TFLH
9,Mint,Clavier 1,00:11:50:16,710.16,662.68,230.03999999999996,,221130_TFLH
10,Mint,Fils 2,00:13:08:48,788.48,741.0,78.32000000000005,,221130_TFLH
11,Mint,Fils 1,00:13:38:16,818.16,770.68,29.67999999999995,,221130_TFLH
12,Mint,Clavier 2,00:15:17:20,917.2,869.72,99.04000000000008,,221130_TFLH
6,Mint,Fils 1,00:03:07:40,187.4,152.48,152.48,,221201_LIVS
7,Mint,Simon,00:08:11:80,491.8,456.88,304.4,,221201_LIVS
8,Mint,Mot de passe,00:12:12:04,732.04,697.12,240.24,,221201_LIVS
9,Mint,Fils 2,00:13:26:72,806.72,771.8,74.67999999999995,,221201_LIVS
10,Mint,Clavier 2,00:14:55:08,895.08,860.16,88.36000000000001,,221201_LIVS
11,Mint,Clavier 1,00:15:50:68,950.68,915.76,55.60000000000002,,221201_LIVS
6,Mint,Fils 1,00:02:10:60,130.6,91.88,91.88,,221201_MMLM
7,Mint,Fils 2,00:02:43:40,163.4,124.68,32.80000000000001,,221201_MMLM
8,Cocoa,Simon,00:03:47:00,227.0,188.28,63.599999999999994,,221201_MMLM
9,Mint,Clavier 1,00:05:40:84,340.84,302.12,113.84,,221201_MMLM
10,Mint,Clavier 2,00:07:44:36,464.36,425.64,123.51999999999998,,221201_MMLM
11,Mint,Labyrinthe,00:10:26:24,626.24,587.52,161.88,,221201_MMLM
12,Mint,Mot de passe,00:12:52:00,772.0,733.28,145.76,,221201_MMLM
13,Cocoa,Simon,00:15:54:68,954.68,915.96,182.68000000000006,,221201_MMLM
6,Mint,Fils 1,00:03:23:20,203.2,152.96,152.96,,221202_ELLD
